Wall time,Step,Value
1639842599.0467331,126,-56.74800109863281
1639842620.0559137,127,-46.39099884033203
1639842641.3161187,128,-46.425750732421875
1639842663.2013178,129,-29.602249145507812
1639842684.373774,130,-49.73249816894531
1639842705.2822685,131,-53.074501037597656
1639842726.830389,132,-43.885498046875
1639842748.3560054,133,-26.643999099731445
1639842770.992686,134,-29.748001098632812
1639842792.1318054,135,-42.20500183105469
1639842813.655404,136,-48.3120002746582
1639842835.1308374,137,-56.72699737548828
1639842856.2183585,138,-55.51625061035156
1639842877.4342158,139,-47.279747009277344
1639842898.5595927,140,-29.599002838134766
1639842919.7150323,141,-41.1717529296875
1639842940.672488,142,-57.33100128173828
1639842962.3983138,143,-42.3025016784668
1639842984.0330746,144,-46.25450134277344
1639843006.0611467,145,-53.28624725341797
1639843027.566346,146,-51.65325164794922
1639843049.2699475,147,-34.62725067138672
1639843070.9999466,148,-44.951499938964844
1639843093.5401967,149,-40.64550018310547
1639843114.9759662,150,-53.19525146484375
1639843136.40184,151,-49.99299621582031
1639843157.4969704,152,-46.13800048828125
1639843178.9887042,153,-37.625247955322266
1639843200.0759382,154,-56.2557487487793
1639843221.0263143,155,-54.84625244140625
1639843242.552247,156,-58.67749786376953
1639843263.7013915,157,-50.256248474121094
1639843285.1623647,158,-44.816001892089844
1639843306.5765324,159,-61.697998046875
1639843327.6220443,160,-45.448753356933594
1639843348.9496748,161,-58.60124969482422
1639843370.6417418,162,-78.27574920654297
1639843392.2795303,163,-60.470497131347656
1639843413.946937,164,-65.42399597167969
1639843435.23487,165,-58.00450134277344
1639843457.0665584,166,-55.54949951171875
1639843479.5644011,167,-60.74800109863281
1639843500.9397058,168,-56.40325164794922
1639843522.8047025,169,-42.51274871826172
1639843544.3537135,170,-40.302001953125
1639843565.7766135,171,-57.14900207519531
1639843588.183788,172,-43.388999938964844
1639843609.9727077,173,-42.69350051879883
1639843631.7360008,174,-47.25699996948242
1639843654.0082521,175,-53.19325256347656
1639843675.416329,176,-59.14474868774414
1639843697.2291539,177,-35.51700210571289
1639843718.7034187,178,-53.628501892089844
1639843740.2930079,179,-54.68574905395508
1639843762.644843,180,-67.21949768066406
1639843783.843451,181,-53.201499938964844
1639843805.1213388,182,-36.797752380371094
1639843827.2283254,183,-26.901248931884766
1639843849.6939716,184,-54.847251892089844
1639843871.378137,185,-75.61775207519531
1639843893.033432,186,-60.290496826171875
1639843914.7495184,187,-50.89299774169922
1639843935.9477787,188,-64.98600006103516
1639843957.278588,189,-58.49674987792969
1639843979.2054272,190,-47.24924850463867
1639844000.6688735,191,-54.061500549316406
1639844022.8303082,192,-48.74700164794922
1639844044.5298827,193,-61.49674987792969
1639844066.4336443,194,-50.44350051879883
1639844087.8226562,195,-39.147499084472656
1639844109.0843756,196,-61.3125
1639844130.2931812,197,-58.95500183105469
1639844151.8105159,198,-52.93824768066406
1639844173.339398,199,-56.37549591064453
1639844194.5278692,200,-75.03799438476562
1639844216.128348,201,-59.95874786376953
1639844237.6759536,202,-58.3797492980957
1639844259.3194184,203,-56.443748474121094
1639844280.4529548,204,-64.26225280761719
1639844302.0689318,205,-52.9734992980957
1639844323.6421516,206,-53.44525146484375
1639844345.1550114,207,-71.15025329589844
1639844366.3303483,208,-66.9010009765625
1639844388.2636306,209,-47.45249938964844
1639844409.9359274,210,-76.26649475097656
1639844431.6170745,211,-86.71749877929688
1639844453.5055187,212,-40.9015007019043
1639844475.3398283,213,-24.89324951171875
1639844497.197727,214,-78.52774810791016
1639844518.825369,215,-63.46574783325195
1639844541.7944138,216,-61.56849670410156
1639844563.5571158,217,-47.631500244140625
1639844584.7502565,218,-62.3224983215332
1639844605.9978693,219,-52.43574905395508
1639844627.5207713,220,-77.21175384521484
1639844649.6268158,221,-20.134750366210938
1639844671.5187697,222,-42.376251220703125
1639844692.8838532,223,-56.79800033569336
1639844714.0400696,224,-45.44575119018555
1639844735.5903263,225,-63.33650207519531
1639844758.057111,226,-33.49639892578125
1639844779.7824855,227,-60.53949737548828
1639844800.9910958,228,-60.2239990234375
1639844823.9010177,229,-76.42225646972656
1639844845.5682106,230,-70.78575134277344
1639844866.8003318,231,-65.9572525024414
1639844887.517092,232,-74.41349792480469
1639844909.4231455,233,-72.04924774169922
1639844931.68111,234,-57.480003356933594
1639844953.1123497,235,-57.125247955322266
1639844974.3576913,236,-58.428001403808594
1639844996.0003805,237,-69.58975219726562
1639845018.0187201,238,-45.80750274658203
1639845039.8407907,239,-47.38349914550781
1639845061.8025386,240,-35.502750396728516
1639845083.395099,241,-73.2145004272461
1639845104.702746,242,-78.21199798583984
1639845126.3213058,243,-60.31275177001953
1639845147.953726,244,-75.41449737548828
1639845169.7946196,245,-65.97250366210938
1639845191.3088436,246,-44.032249450683594
1639845212.9899151,247,-65.26074981689453
1639845234.7109423,248,-43.13249969482422
1639845256.6057534,249,-39.99449920654297
1639845278.0367358,250,-60.686500549316406
1639845299.3298135,251,-57.865997314453125
1639845320.9564652,252,-49.75450134277344
1639845343.5148242,253,-37.81050109863281
1639845365.187201,254,-60.425750732421875
1639845386.6734917,255,-61.53424835205078
1639845408.471897,256,-54.540000915527344
1639845430.8589418,257,-48.830596923828125
1639845451.8913765,258,-73.48899841308594
1639845473.9085636,259,-57.73775100708008
1639845496.0947883,260,-29.171249389648438
1639845518.5987499,261,-45.56700134277344
1639845540.4424741,262,-43.25
1639845563.3726315,263,-62.611000061035156
1639845584.7602904,264,-68.9489974975586
1639845606.0776172,265,-54.76449966430664
